"Advanced Activity & News Feed Plugin";"Advanced Activity & News Feed Plugin"
"Pin Post to Top";"Pin Post to Top"
"Unpin Post From Top";"Unpin Post From Top"
"Pinned Post";"Pinned Post"
"Where to Buy (URL Optional)";"Where to Buy (URL Optional)"
"YOU";"You"
"If you find it offensive, please";"If you find it offensive, please"
"Good Morning";"Good Morning"
"Good Afternoon";"Good Afternoon"
"Good Evening";"Good Evening"
"Welcome";"Welcome"
"What's New";"What's New"
"Please enter the title of your product.";"Please enter the title of your product."
"Please enter the price of your product.";"Please enter the price of your product."
"Share";"Share"
"Close";"Close"
"Post Something...";"Post Something..."
"It seems, that the post is blank. Please write or attach something to share your post.";"It seems, that the post is blank. Please write or attach something to share your post."
"Schedule post";"Schedule Post"
"Schedule Your Post";"Schedule Your Post"
"Select date and time on which you want to publish your post.";"Select date and time on which you want to publish your post."
"Schedule";"Schedule"
"Cancel";"Cancel"
"Tag People";"Tag People"
"Check In";"Check In"
"Emoticons";"Emoticons"
"Who are you with?";"Who are you with?"
"Where are you?";"Where are you?"
"Everyone";"Everyone"
"Friends & Networks";"Friends & Networks"
"Friends Only";"Friends Only"
"Only Me";"Only Me"
"Multiptle Networks";"Multiptle Networks"
"Multiptle Lists";"Multiptle Lists"
"Finish Your Post?";"Finish Your Post?"
"If you leave now, your post won't be saved.";"If you leave now, your post won't be saved."
"Discard Post";"Discard Post"
"Go to Post";"Go to Post"
"No memories for you on this day.";"No memories for you on this day."
"Thanks for coming!";"Thanks for coming!"
"choose time 10 minutes greater than current time.";"choose time 10 minutes greater than current time."
"%s peoples talking about this.";"%s peoples talking about this.";"%s people talking about this."
"Previous";"Previous"
"Next";"Next"
"Welcome to [site_title], [user_name]";"Welcome to [site_title], [user_name]"
"Profile Photo Upload";"Profile Photo Upload"
"Upload Photo";"Upload Photo"
"Take Photo";"Take Photo"
"With your webcam";"With your webcam"
"Click to Take Photo";"Click to Take Photo"
"Select a photo";"Select a photo"
"Loading";"Loading"
"See All Friend Request";"See All Friend Request"
"Friend Requests";"Friend Requests"
"You have no any friend request.";"You have no any friend request."
"Find Friends";"Find Friends"
"Enter name of member.";"Enter name of member."
"Find";"Find"
"Sell Something";"Sell Something"
"What are you selling?";"What are you selling?"
"Add price";"Add price"
"Add location (optional)";"Add location (optional)"
"Describe your item (optional)";"Describe your item (optional)"
"Choose a file to upload";"Choose a file to upload"
"Upload smaller file.";"Upload smaller file."
"Publish this on Facebook";"Publish this on Facebook"
"Add Link";"Add Link"
"PLAY";"PLAY"
"CANCEL";"CANCEL"
"Publish this on Linkedin";"Publish this on Linkedin"
"Choose a file to upload";"Choose a file to upload"
"Add Photo";"Add Photo"
"Cancel Uploading";"Cancel Uploading"
"Country name not fetch for given location. Write Country name manually in text box and save.";"Country name not fetch for given location. Write Country name manually in text box and save."
"City name not fetch for given location.Write City name manually in text box and save.";"City name not fetch for given location.Write City name manually in text box and save."
"Please select city name.";"Please select city name."
"Please select country name.";"Please select country name."
"Publish this on Twitter";"Publish this on Twitter"
"More";"More"
"An error occured. Please try again after some time.";"An error occured. Please try again after some time."
"Permalink of this Post";"Permalink of this Post"
"Go to this feed";"Go to this feed"
"You won\'t see";"You won\'t see"
"post in Feed.";"post in Feed."
"Select";"Select"
"It is a long established fact that a reader will be distracted";"It is a long established fact that a reader will be distracted"
"Edit Post";"Edit Post"
"Settings";"Settings"
"Post on Wall";"Post on Wall"
"Send Message";"Send Message"
"Add Friends to See More Feeds";"Add Friends to See More Feeds"
"You’ll have more feeds in your Activity Feed wall, once you add more friends here.";"You’ll have more feeds in your Activity Feed wall, once you add more friends here."
"Add your birthday to your profile";"Add your birthday to your profile"
"Let people know when the big day arrives.";"Let people know when the big day arrives."
"Go now";"Go now"
"Posts You've Hidden";"Posts You've Hidden"
"Posts You're Tagged In";"Posts You're Tagged In"
"Item Details";"Item Details"
"Mark as Sold";"Mark as Sold"
"Message Seller";"Message Seller"
"Sold";"Sold"
"Remove Selected";"Remove Selected"
"Edit Photo";"Edit Photo"
"Title";"Title"
"Image Description";"Image Description"
"Save Changes";"Save Changes"
"Are you sure that you want to delete this activity item and all of its comments? This action cannot be undone. <br />You can also consider editing this post, if you just want to make some changes.";"Are you sure that you want to delete this activity item and all of its comments? This action cannot be undone. <br />You can also consider editing this post, if you just want to make some changes."
"Delete Comment?";"Delete Comment?"
"Delete Activity Item?";"Delete Activity Item?"
"Are you sure that you want to delete this comment? This action cannot be undone.";"Are you sure that you want to delete this comment? This action cannot be undone."
"Edit Feed";"Edit Feed"
"Delete Feed";"Delete Feed"

# admin global settings
"Add Location(SES - Advanced News & Activity Feeds Plugin)";"Check In (Members will be able to add their location to their posts)"
"Schedule Post(SES - Advanced News & Activity Feeds Plugin)";"Schedule Post (Members will be able to choose publish date and time for their posts.)"
"Add Advancedactivitylinkedin(SES - Advanced News & Activity Feeds Plugin)";"Share on LinkedIn"
"Add Link(Core)";"Add Link"
"Add Advancedactivitytargetpost(SES - Advanced News & Activity Feeds Plugin)";"Choose Prefered Audience (Members will be able to target their posts to prefered audience)"
"Add File(SES - Advanced News & Activity Feeds Plugin)";"Add File"
"Sell Something(SES - Advanced News & Activity Feeds Plugin)";"Sell Something (Members will be able to add their products for selling)"
"Add Photo(SES - Advanced Photos & Albums Plugin)";"Add Photo (Members will be able to upload multiple photos (multiple photo will work with SE Core Photo Album plugin and our <a href='https://www.socialenginesolutions.com/social-engine/advanced-photos-albums-plugin/' target='_blank'>Advanced Photos & Albums Plugin</a>))"
"Add Album(SES - Advanced Photos & Albums Plugin)";"Create Photo Album (Members will be able to create new album and upload multiple photos (will work with our <a href='https://www.socialenginesolutions.com/social-engine/advanced-photos-albums-plugin/' target='_blank'>Advanced Photos & Albums Plugin</a>))"
"Add Video(SES - Advanced Videos & Channels Plugin)";"Add Video"
"Add Video(Videos)";"Add Video"
"Add Music(Music)";"Add Music"
"Add Music(Advanced Music Albums, Songs & Playlists Plugin)";"Add Music"
"Add Event(SES - Advanced Events Plugin)";"Create Event (Members will be able to create events (will work with SE Core Events Album plugin and our <a href='https://www.socialenginesolutions.com/social-engine/advanced-events-plugin/' target='_blank'>Advanced Events Plugin</a>)"
"Add Advancedactivitytargetpost(SES - Advanced News & Activity Feeds Plugin)";"Choose Prefered Audience (Members will be able to target their posts to prefered audience)"
"Add Eventvideo(Advanced Events - Videos Extension)";"Add Video"


"SESADVCOMMMENT";"Comment"
"Men";"Men"
"Women";"Women"
"Age";"Age"
"All";"All"
"Choose Preferred Audience";"Choose Preferred Audience"
"Choose preferred audience for your post.";"Choose preferred audience for your post."
"Gender";"Gender"
"Save";"Save"
"Remove";"Remove"
"Close";"Close"
"Choose to share your post with &quot;All&quot; or specific gender.";"Choose to share your post with &quot;All&quot; or specific gender."
"Choose minimum and maximum age of the members with whom you want to share your post.";"Choose minimum and maximum age of the members with whom you want to share your post."
"It seems, that the post is blank. Please write or attach something to share your post.";"It seems, that the post is blank. Please write or attach something to share your post."
"See whose activity feeds you have hidden";"See whose activity feeds you have hidden"
"You have not hidden activity feed(s) from any user.";"You have not hidden activity feed(s) from any user."
"Add Advancedactivityfacebookpostembed(SES - Advanced News & Activity Feeds Plugin)";"Add FB Embed Post (users will be able to embed feeds from Facebook to your website.)"
"Add Advancedactivityfacebookpostembed(SES - Advanced News & Activity Feeds Plugin)";"Add FB Embed Post Code (If enabled, users will be able to add embed code from Facebook into their posts.)"
"Add FB Embed Post";"Add FB Embed Post"
"Feeling/Activity";"Feeling/Activity"
"with";"with"
"Shared with: ";"Shared with: "
"SESADVLIKE";"Like"
"SESADVUNLIKE";"Unlike"
"Choose Feeling or activity...";"Choose Feeling or activity..."
"How are you feeling?";"How are you feeling?"
"SES - Advanced News & Activity Feeds Plugin";"Activity Feeds"
"Stickers";"Stickers"
"Add Album";"Add Album"
"Schedule Post";"Schedule Post"
"Stickers";"Stickers"
"GIF";"GIF"
"Post GIF";"Post GIF"
"Add Friend";"Add Friend"
"Wow";"Wow"
"Haha";"Haha"
"Save Feed";"Save Feed"
"Feed Link";"Feed Link"
"Hide Feed";"Hide Feed"
"Hide all by %s";"Hide all by %s"
"Write a reply...";"Write a reply..."
"Post Emojis";"Post Emojis"
"Facebook";"Facebook"
"Twitter";"Twitter"
"Google Plus";"Google Plus"
"Linkedin";"Linkedin"
"Disable Comments";"Disable Comments"
"Permalink of this Post";"Permalink of this Post"
"Copy link of this feed:";"Copy link of this feed:"
"Go to this feed";"Go to this feed"
"Emojis";"Emoji"
"Are you sure that you want to delete this activity item and all of its comments? This action cannot be undone. <br />You can also consider editing this post, if you just want to make some changes.";"Are you sure that you want to delete this activity item and all of its comments? This action cannot be undone. <br />You can also consider editing this post, if you just want to make some changes."
"Unsave Feed";"Unsave Feed"
"Enable Comments";"Enable Comments"
"You won\'t see this post in Feed.";"You won\'t see this post in Feed."
"Undo";"Undo"
"Hide all from";"Hide all from"

"_ACTIVITY_ACTIONTYPE_POST_MUSIC";"when some one upload music from subject page."
"_ACTIVITY_ACTIONTYPE_POST_PHOTO";"when some one upload photo from activity feed."
"_ACTIVITY_ACTIONTYPE_POST_SELF_BUYSELL";"when some one upload buy sell feed from activity."
"_ACTIVITY_ACTIONTYPE_POST_SELF_FILE";"when some one upload file from activity."
"_ACTIVITY_ACTIONTYPE_POST_SELF_LINK";"when some one upload link."
"_ACTIVITY_ACTIONTYPE_POST_SELF_MUSIC";"when some one upload music."
"_ACTIVITY_ACTIONTYPE_POST_SELF_PHOTO";"when some one upload photo."
"_ACTIVITY_ACTIONTYPE_POST_SELF_VIDEO";"when someone upload video."
"_ACTIVITY_ACTIONTYPE_POST_VIDEO";"when some one upload video from subject page."
"_ACTIVITY_ACTIONTYPE_SESADVANCEDACTIVITY_EVENT_SHARE";"when some one share activity event."


"ACTIVITY_TYPE_SESADVANCEDACTIVITY_SCHEDULED_LIVE";"When my schedule post is live."
"ACTIVITY_TYPE_SESADVANCEDACTIVITY_TAGGED_PEOPLE";"When someone tag me in a post."
"ACTIVITY_TYPE_SESADVANCEDACTIVITY_TAGGED_Item";"When someone tag me in a post."
"ADMIN_ACTIVITY_TYPE_POST_MUSIC";"When a user (subject) post a music (object)."
"ADMIN_ACTIVITY_TYPE_POST_PHOTO";"When a user (subject) post a photo (object)."
"ADMIN_ACTIVITY_TYPE_POST_SELF_BUYSELL";"When a user (subject) sell something."
"ADMIN_ACTIVITY_TYPE_POST_SELF_FILE";"When a user (subject) post a file."
"ADMIN_ACTIVITY_TYPE_POST_SELF_LINK";"When a user (subject) post a link."
"ADMIN_ACTIVITY_TYPE_POST_SELF_MUSIC";"When a user (subject) post music."
"ADMIN_ACTIVITY_TYPE_POST_SELF_PHOTO";"When a user (subject) post photo."
"ADMIN_ACTIVITY_TYPE_POST_SELF_VIDEO";"When a user (subject) post video."
"ADMIN_ACTIVITY_TYPE_POST_VIDEO";"When a user (subject) post video (object)."
"ADMIN_ACTIVITY_TYPE_SESADVANCEDACTIVITY_EVENT_SHARE";"When a user (subject) share an activity event."
"ADMIN_ACTIVITY_TYPE_POST_SELF_SELL";"When a user (subject) sell something."
"ADMIN_ACTIVITY_TYPE_POST_SELL";"When a user (subject) sell something (object)."
"ACTIVITY_TYPE_SESADVANCEDACTIVITY_TAGGED_ITEM";"When someone tagged your content"
